display_name,yahoo_symbol,exchange,type,company_name
COCHINSHIP,COCHINSHIP.BO,BSE,equity,Cochin Shipyard Limited
COFFEEDAY,COFFEEDAY.BO,BSE,equity,Coffee Day Enterprises Limited
COFORGE,COFORGE.BO,BSE,equity,Coforge Limited
COLPAL,COLPAL.BO,BSE,equity,Colgate Palmolive (India) Limited
COMMOIETF,COMMOIETF.BO,BSE,equity,
COMPUSOFT,COMPUSOFT.BO,BSE,equity,Compucom Software Limited
COMSYN,COMSYN.BO,BSE,equity,Commercial Syn Bags Limited
CONFIPET,CONFIPET.BO,BSE,equity,Confidence Petroleum India Limited
CONSUMER,CONSUMER.BO,BSE,equity,
CORDSCABLE,CORDSCABLE.BO,BSE,equity,Cords Cable Industries Limited
COUNCODOS,COUNCODOS.BO,BSE,equity,Country Condo's Limited
CREATIVEYE,CREATIVEYE.BO,BSE,equity,Creative Eye Limited
CREDITACC,CREDITACC.BO,BSE,equity,CREDITACCESS GRAMEEN LIMITED
CREST,CREST.BO,BSE,equity,Crest Ventures Limited
CROMPTON,CROMPTON.BO,BSE,equity,Crompton Greaves Consumer Electricals Limited
CSBBANK,CSBBANK.BO,BSE,equity,CSB Bank Limited
CUB,CUB.BO,BSE,equity,City Union Bank Limited
CUBEXTUB,CUBEXTUB.BO,BSE,equity,Cubex Tubings Limited
CURAA,CURAA.BO,BSE,equity,Cura Technologies Limited
CYBERMEDIA,CYBERMEDIA.BO,BSE,equity,Cyber Media (India) Limited
DABUR,DABUR.BO,BSE,equity,Dabur India Limited
DAMCAPITAL,DAMCAPITAL.BO,BSE,equity,Dam Capital Advisors Limited
DAMODARIND,DAMODARIND.BO,BSE,equity,Damodar Industries Limited
DATAMATICS,DATAMATICS.BO,BSE,equity,Datamatics Global Services Limited
DAVANGERE,DAVANGERE.BO,BSE,equity,Davangere Sugar Company Limited
DBCORP,DBCORP.BO,BSE,equity,D.B.Corp Limited
DBOL,DBOL.BO,BSE,equity,Dhampur Bio Organics Limited
DBSTOCKBRO,DBSTOCKBRO.BO,BSE,equity,DB (International) Stock Brokers Limited
DCAL,DCAL.BO,BSE,equity,Dishman Carbogen Amcis Limited
DCI,DCI.BO,BSE,equity,Dc Infotech And Communication Limited
DCM,DCM.BO,BSE,equity,DCM  Limited
DCMNVL,DCMNVL.BO,BSE,equity,DCM Nouvelle Limited
DCMSHRIRAM,DCMSHRIRAM.BO,BSE,equity,DCM Shriram Limited
DCW,DCW.BO,BSE,equity,DCW Limited
DCXINDIA,DCXINDIA.BO,BSE,equity,DCX Systems Limited
DDEVPLSTIK,DDEVPLSTIK.BO,BSE,equity,Ddev Plastiks Industries Limited
DECCANCE,DECCANCE.BO,BSE,equity,Deccan Cements Limited
DEEPAKFERT,DEEPAKFERT.BO,BSE,equity,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,DEEPAKNTR.BO,BSE,equity,Deepak Nitrite Limited
DEEPINDS,DEEPINDS.BO,BSE,equity,Deep Industries Limited
DELHIVERY,DELHIVERY.BO,BSE,equity,Delhivery Limited
DEN,DEN.BO,BSE,equity,Den Networks Limited
DEVIT,DEVIT.BO,BSE,equity,Dev Information Technology Limited
DEVYANI,DEVYANI.BO,BSE,equity,Devyani International Limited
DHAMPURSUG,DHAMPURSUG.BO,BSE,equity,Dhampur Sugar Mills Limited
DHARMAJ,DHARMAJ.BO,BSE,equity,Dharmaj Crop Guard Limited
DHRUV,DHRUV.BO,BSE,equity,Dhruv Consultancy Services Limited
DIAMINESQ,DIAMINESQ.BO,BSE,equity,Diamines & Chemicals Limited
DIAMONDYD,DIAMONDYD.BO,BSE,equity,Prataap Snacks Limited
DICIND,DICIND.BO,BSE,equity,DIC India Limited
DIGIDRIVE,DIGIDRIVE.BO,BSE,equity,Digidrive Distributors Limited
DIGITIDE,DIGITIDE.BO,BSE,equity,Digitide Solutions Limited
DIGJAMLMTD,DIGJAMLMTD.BO,BSE,equity,Digjam Limited
DISHTV,DISHTV.BO,BSE,equity,Dish TV India Limited
DIVGIITTS,DIVGIITTS.BO,BSE,equity,Divgi Torqtransfer Systems Limited
DIVIDEND,DIVIDEND.BO,BSE,equity,
DIXON,DIXON.BO,BSE,equity,Dixon Technologies (India) Limited
DJML,DJML.BO,BSE,equity,DJ Mediaprint & Logistics Limited
DNAMEDIA,DNAMEDIA.BO,BSE,equity,Diligent Media Corporation Limited
DOLLAR,DOLLAR.BO,BSE,equity,Dollar Industries Limited
DONEAR,DONEAR.BO,BSE,equity,Donear Industries Limited
DRCSYSTEMS,DRCSYSTEMS.BO,BSE,equity,DRC Systems India Limited
DREAMFOLKS,DREAMFOLKS.BO,BSE,equity,Dreamfolks Services Limited
DREDGECORP,DREDGECORP.BO,BSE,equity,Dredging Corporation of India Limited
DRREDDY,DRREDDY.BO,BSE,equity,Dr. Reddy's Laboratories Limited
DTIL,DTIL.BO,BSE,equity,Dhunseri Tea & Industries Limited
DWARKESH,DWARKESH.BO,BSE,equity,Dwarikesh Sugar Industries Limited
DYNPRO,DYNPRO.BO,BSE,equity,Dynemic Products Limited
EASEMYTRIP,EASEMYTRIP.BO,BSE,equity,Easy Trip Planners Limited
EBGNG,EBGNG.BO,BSE,equity,GNG Electronics Limited
ECAPINSURE,ECAPINSURE.BO,BSE,equity,
ECLERX,ECLERX.BO,BSE,equity,eClerx Services Limited
EICHERMOT,EICHERMOT.BO,BSE,equity,Eicher Motors Limited
EIDPARRY,EIDPARRY.BO,BSE,equity,EID Parry India Limited
EIEL,EIEL.BO,BSE,equity,Enviro Infra Engineers Limited
EIHAHOTELS,EIHAHOTELS.BO,BSE,equity,EIH Associated Hotels Limited
EIHOTEL,EIHOTEL.BO,BSE,equity,EIH Limited
EIMCOELECO,EIMCOELECO.BO,BSE,equity,Eimco Elecon (India) Limited
ELDEHSG,ELDEHSG.BO,BSE,equity,Eldeco Housing And Industries Limited
ELECON,ELECON.BO,BSE,equity,Elecon Engineering Company Limited
EMAMILTD,EMAMILTD.BO,BSE,equity,Emami Limited
EMKAY,EMKAY.BO,BSE,equity,Emkay Global Financial Services Limited
